Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Oct 2000,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,October 1,"4,687","3,983",17.7
Daily Visitation,October 2,"4,197","4,225",-0.7
Daily Visitation,October 3,"3,606","5,673",-36.4
Daily Visitation,October 4,"4,110","4,911",-16.3
Daily Visitation,October 5,"3,648","4,380",-16.7
Daily Visitation,October 6,"4,234","4,406",-3.9
Daily Visitation,October 7,"5,077","3,833",32.5
Daily Visitation,October 8,"4,647","4,349",6.9
Daily Visitation,October 9,"3,938","5,930",-33.6
Daily Visitation,October 10,"3,344","4,787",-30.1
Daily Visitation,October 11,"2,929","4,054",-27.8
Daily Visitation,October 12,"2,763","3,362",-17.8
Daily Visitation,October 13,"3,056","3,283",-6.9
Daily Visitation,October 14,"3,339","3,330",0.3
Daily Visitation,October 15,"3,150","3,018",4.4
Daily Visitation,October 16,"2,828","3,298",-14.3
Daily Visitation,October 17,"3,299","3,040",8.5
Daily Visitation,October 18,"2,805","2,323",20.7
Daily Visitation,October 19,"2,972","2,456",21.0
Daily Visitation,October 20,"3,402","2,432",39.9
Daily Visitation,October 21,"4,189","2,780",50.7
Daily Visitation,October 22,"2,235","3,183",-29.8
Daily Visitation,October 23,"1,971","3,510",-43.8
Daily Visitation,October 24,"1,937","2,987",-35.2
Daily Visitation,October 25,"1,690","1,976",-14.5
Daily Visitation,October 26,"2,007","1,932",3.9
Daily Visitation,October 27,"1,972","1,635",20.6
Daily Visitation,October 28,"2,142","1,737",23.3
Daily Visitation,October 29,"1,512","1,572",-3.8
Daily Visitation,October 30,"1,295","2,122",-39.0
Daily Visitation,October 31,812,"2,060",-60.6

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"69,414","75,906",-8.6,"1,837,741","1,927,861",-4.7,"69,414"
Non-Recreation Visitors,"24,389","26,670",-8.6,"637,510","661,017",-3.6,"24,389"
Total Visitors,"93,803","102,576",-8.6,"2,475,252","2,588,878",-4.4,"93,803"

